site,lat,lon,paleolat_herold,paleolon_herold,paleodepth,type,clean,preservation,genus,pHPETM,omegaPETM,pHPREPETM,omegaPREPETM,pHMODERN,omegaMODERN,valuePETM,valuePREPETM,stdPETM,stdPREPETM,nPETM,nPREPETM,source,doi,assessment
ODP 690,-65.161,1.2049,-65.05,-1.35,1900,mg,0,0,Acarinina,7.461664677,1.348911643,7.707589149,1.628505468,8.075650215,1.217604518,3.39,2.65,0.49,0.42,12,5,Kozdon20,https://doi.org/10.1029/2019PA003811,this study
Ancora,39.69222,-74.54902,38.65,-56.45,,delo,,0,Morozovella,7.491107941,,7.745986462,,8.117887497,,-3.86,,0.2,,10,,Babila14,https://doi.org/doi:10.7282/T3Z31WRT,this study. Only used data below the unconformity
Ancora,39.69222,-74.54902,38.65,-56.45,,delo,,0,Acarinina,7.491107941,,7.745986462,,8.117887497,,-3.33,,0.19,,26,,Babila14,https://doi.org/doi:10.7282/T3Z31WRT,this study. Only used data below the unconformity
Bass River,39.61,-74.44,38.45,-55.55,,delo,,0,Morozovella,7.491107941,,7.745986462,,8.117887497,,-3.75,-2.81,0.35,0.55,26,20,John08,https://doi.org/10.1029/2007PA001465,deepMIP. single specimens pre-averaged
Bass River,39.61,-74.44,38.45,-55.55,,delo,,0,Acarinina,7.491107941,,7.745986462,,8.117887497,,-3.11,-2.33,0.42,0.42,29,28,John08,https://doi.org/10.1029/2007PA001465,deepMIP. single specimens pre-averaged
Tanzania TDP14,-9.29,39.47,-18.65,33.2,,delo,,0,Morozovella,7.495163441,,7.746274471,,8.030877113,,-3.8,-3.36,0.52,0.26,20,9,Aze14,https://doi.org/10.1130/G35637.1,went back to original data bc data were missing from deepMIP compilation. Single specimens pre-averaged
Tanzania TDP14,-9.29,39.47,-18.65,33.2,,delo,,0,Acarinina,7.495163441,,7.746274471,,8.030877113,,-3.62,-3.28,0.33,0.39,10,5,Aze14,https://doi.org/10.1130/G35637.1,went back to original data bc data were missing from deepMIP compilation. Single specimens pre-averaged
Nigeria SQ,6.8,3.63,-0.45,-1.25,,delo,,0,Morozovella,7.513446808,,7.757463455,,8.117982864,,,-3.77,,0.12,,12,Frieling17,https://doi.org/10.1126/sciadv.160089,used all LP data to match MgCa
Nigeria SQ,6.8,3.63,-0.45,-1.25,,delo,,0,Acarinina,7.513446808,,7.757463455,,8.117982864,,,-3.4,,0.23,,12,Frieling17,https://doi.org/10.1126/sciadv.160089,used all LP data to match MgCa
Wilson Lake,39.66,-75.04,38.65,-56.45,,delo,,0,Morozovella,7.491107941,,7.745986462,,8.117887497,,-3.78,,0.26,,14,,Zachos06,https://doi.org/10.1130/G22522.1,deepMIP
Wilson Lake,39.66,-75.04,38.65,-56.45,,delo,,0,Acarinina,7.491107941,,7.745986462,,8.117887497,,-3.46,,0.29,,17,,Zachos06,https://doi.org/10.1130/G22522.1,deepMIP
ODP 865,18.44033,-179.555,4.85,-143.85,,delo,,0,Morozovella,7.485396862,,7.729179859,,8.087483406,,-3.88,-3.63,0.46,0.26,12,7,Kozdon13,https://doi.org/10.1002/palo.20048,deepMIP
Lodo Gulch,36.59,-120.64,42.25,-103.75,,delo,,0,Morozovella,7.489235401,,7.747316837,,8.042472839,,-2.97,,0.16,,21,,John08,https://doi.org/10.1029/2007PA001465,deepMIP
Lodo Gulch,36.59,-120.64,42.25,-103.75,,delo,,0,Acarinina,7.489235401,,7.747316837,,8.042472839,,-3,,0.17,,12,,John08,https://doi.org/10.1029/2007PA001465,deepMIP
Tumey Gulch,36.54,-120.64,42.25,-103.75,,delo,,0,Morozovella,7.489235401,,7.747316837,,8.042472839,,-3.23,,0.14,,4,,John08,https://doi.org/10.1029/2007PA001465,deepMIP
Tumey Gulch,36.54,-120.64,42.25,-103.75,,delo,,0,Acarinina,7.489235401,,7.747316837,,8.042472839,,-3.19,,0.16,,2,,John08,https://doi.org/10.1029/2007PA001465,deepMIP
Milville,39.4,-75.09,37.65,-56.75,,delo,,0,Morozovella,7.491950989,,7.747458458,,8.13143158,,-3.82,-2.97,0.41,0.25,26,4,Si18,https://doi.org/10.1002/2017PA003219,deepMIP
Milville,39.4,-75.09,37.65,-56.75,,delo,,0,Acarinina,7.491950989,,7.747458458,,8.13143158,,-3.3,-2.43,0.24,0.28,30,8,Si18,https://doi.org/10.1002/2017PA003219,deepMIP
DSDP 401,47.4275,-8.8103,41.95,-10.95,,delo,,0,Morozovella,7.503662586,,7.757180691,,8.150939941,,-2.46,-1.06,0.16,0.21,26,14,Bornemann14,https://doi.org/10.1016/j.epsl.2014.03.017,deepMIP
DSDP 401,47.4275,-8.8103,41.95,-10.95,,delo,,0,Acarinina,7.503662586,,7.757180691,,8.150939941,,-1.76,-1.5,0.32,0.4,12,15,Bornemann14,https://doi.org/10.1016/j.epsl.2014.03.017,deepMIP
ODP 690,-65.161,1.2049,-65.05,-1.35,,delo,,0,Acarinina,7.461664677,,7.707589149,,8.075650215,,-2.52,-2.12,0.6,0.44,13,3,Kozdon20,https://doi.org/10.1029/2019PA003811,this study. single specimens pre-averaged
Point Margaret,-38.725,143.176,-61.35,144.55,,mbt,,,,,,,,,,0.951,0.921,0.018,0.008,17,37,Huurdemann21,https://doi.org/10.1130/G47343.1,this study
Cobham Lignite,51.4,0.4,46.25,-3.15,,mbt,,,,,,,,,,,0.914,,0.015,,7,Naafs18,https://doi.org/10.1038/s41561-018-0199-0,deepMIP
Kasnau Matasukh Seam,27.10694444,74.075,0.35,63.65,,mbt,,,,,,,,,,,0.991,,0.008,,2,Naafs18,https://doi.org/10.1038/s41561-018-0199-0,deepMIP
Barsingsar Seam,27.84,73.2,1.65,63.05,,mbt,,,,,,,,,,,0.979,,,,1,Naafs18,https://doi.org/10.1038/s41561-018-0199-0,deepMIP
Otaio Gorge Lignite,-44.5,170.9,-56.55,-164.05,,mbt,,,,,,,,,,0.974,0.912,,0.049,1,2,Inglis21,https://doi.org/10.1130/G48110.1,this study lignite values
Otaio Gorge Sediments,-44.5,170.9,-56.55,-164.05,,mbt,,,,,,,,,,0.808,0.678,0.027,0.021,4,7,Inglis21,https://doi.org/10.1130/G48110.1,this study marine interbed values
IODP 302 ACEX M0004,87.86666667,136.175,83,29.3,,mbt,,,,,,,,,,0.837,0.734,0.028,0.016,15,13,Sluijs20,https://doi.org/10.5194/cp-16-2381-2020,this study
